PROBLEM	SR1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO																											
CUST	VHCL	DEPOT																											
19	16	2																											
					FIX	VARIBLE	ALLW	ALLW																					
CUST.			READY	DUE	SERVICE	SERVICE	EARLY	LATE					Delivery points																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	67	79	227	461	13	0.1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
1	71	80	166	196	26	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	17	28	309	339	26	0.1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	50	37	86	516	32	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
4	91	56	93	470	36	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	0	0	30	0	0
5	55	50	0	600	19	0.1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	85	10	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	58	91	84	423	15	0.1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	80	71	5	477	23	0.1	0	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	23
9	86	39	98	452	31	0.1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	44	27	28	377	12	0.1	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	20	0	29	0
11	64	58	170	200	19	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
12	13	9	396	426	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	33	80	5	352	10	0.1	0	0	0	0	0	20	0	0	7	27	0	0	0	0	0	0	0	0	0	0	0	0	0
14	45	63	116	229	32	0.1	0	0	19	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	100	7	234	385	30	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
16	91	50	246	276	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	48	56	99	489	37	0.1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	71	68	242	394	21	0.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	33	39	105	411	33	0.1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
20	19	6	79	314	41	0.1	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	0	0	4	0	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VARIABLE	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
