PROBLEM	SR2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO																											
CUST	VHCL	DEPOT												30															
19	16	2																											
					FIX	VARIBLE	ALLW	ALLW																					
CUST.			READY	DUE	SERVICE	SERVICE	EARLY	LATE					Delivery points																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	17	17	100	365	13	0.1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
1	89	95	267	297	26	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	67	11	231	261	26	0.1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	23	78	287	520	32	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
4	18	63	257	465	36	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	0	0	30	0	0
5	94	44	0	650	19	0.1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	98	80	0	650	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	51	72	340	424	15	0.1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	15	72	136	339	23	0.1	0	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	23
9	29	89	144	427	31	0.1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	37	172	409	12	0.1	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	20	0	29	0
11	53	12	142	172	19	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
12	39	65	367	397	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	13	11	205	415	10	0.1	0	0	0	0	0	20	0	0	7	27	0	0	0	0	0	0	0	0	0	0	0	0	0
14	39	0	71	552	32	0.1	0	0	19	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	81	23	31	562	30	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
16	35	31	218	248	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	28	89	217	502	37	0.1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	29	14	2	401	21	0.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	65	46	106	454	33	0.1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
20	18	98	209	318	41	0.1	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	0	0	4	0	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VARIABLE	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	650	100	1	5	5																							
2	60	650	100	1	5	5																							
3	60	650	100	1	5	5																							
4	60	650	100	1	5	5																							
5	60	650	100	1	5	5																							
6	60	650	100	1	5	5																							
7	60	650	100	1	5	5																							
8	60	650	100	1	5	5																							
9	50	650	80	1	6	6																							
10	50	650	80	1	6	6																							
11	50	650	80	1	6	6																							
12	50	650	80	1	6	6																							
13	50	650	80	1	6	6																							
14	50	650	80	1	6	6																							
15	50	650	80	1	6	6																							
16	50	650	80	1	6	6																							
