PROBLEM	SRC2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO																											
CUST	VHCL	DEPOT													30														
19	16	2																											
					FIX	VARIBLE	ALLW	ALLW																					
CUST.			READY	DUE	SERVICE	SERVICE	EARLY	LATE					Delivery points																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	37	69	19	328	13	0.1	0	0	0	0	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	31	66	263	293	26	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	62	17	367	26	0.1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3	29	71	84	303	32	0.1	0	0	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	63	51	235	36	0.1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0
5	52	45	0	650	19	0.1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	29	0	0	0
6	58	46	0	650	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
7	56	48	5	204	15	0.1	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	12	0
8	59	44	52	412	23	0.1	0	0	0	0	0	0	0	0	0	30	0	0	23	0	0	0	0	23	0	0	0	0	0
9	70	87	76	281	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
10	69	85	138	235	12	0.1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
11	17	17	186	350	19	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
12	89	95	174	204	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
13	67	11	129	204	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
14	23	78	61	197	32	0.1	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	16	0	0	0	0	0
15	18	63	238	502	30	0.1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	94	44	220	423	25	0.1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	98	80	184	321	37	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	51	72	192	222	21	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	15	72	60	124	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
20	29	89	311	363	41	0.1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	650	100	1	5	5																							
2	60	650	100	1	5	5																							
3	60	650	100	1	5	5																							
4	60	650	100	1	5	5																							
5	60	650	100	1	5	5																							
6	60	650	100	1	5	5																							
7	60	650	100	1	5	5																							
8	60	650	100	1	5	5																							
9	50	650	80	1	6	6																							
10	50	650	80	1	6	6																							
11	50	650	80	1	6	6																							
12	50	650	80	1	6	6																							
13	50	650	80	1	6	6																							
14	50	650	80	1	6	6																							
15	50	650	80	1	6	6																							
16	50	650	80	1	6	6																							
