PROBLEM	20L60R_C2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	16	2	60																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	37	69	26	419	13	0.1	0	0	0	24	21	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	31	66	112	464	26	0.1	0	0	0	0	27	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	62	62	458	26	0.1	0	0	29	0	0	21	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
3	29	71	37	369	32	0.1	0	0	0	11	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	63	31	388	36	0.1	0	0	0	34	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	52	45	0	600	19	0.1	0	0	0	0	0	0	0	0	1	10	21	0	0	0	0	38	0	0	0	0	0	0	0
6	58	46	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
7	56	48	60	406	15	0.1	0	0	0	0	0	0	0	44	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0
8	59	44	36	485	23	0.1	0	0	0	0	0	0	0	19	47	22	0	0	0	0	0	0	11	0	0	0	0	29	0
9	70	87	82	375	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	43	0	0	0	0	0
10	69	85	45	440	12	0.1	0	0	0	0	0	0	0	0	0	0	0	9	0	11	25	0	0	0	0	0	0	0	0
11	78	90	23	440	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	23	0	0	39	0	0	0	0	0
12	61	84	4	409	16	0.1	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	50	0	0	0	0
13	10	20	53	314	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0
14	11	15	88	486	32	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5	0	0	0	0	0
15	13	20	69	446	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	27	14	0	0	0	0	0	0
16	73	18	272	481	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	79	22	208	435	37	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	20	0	12
18	76	19	27	395	21	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	49	0	0	0	10	23	0	4	0
19	80	24	82	414	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
20	79	22	186	373	41	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	1	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
