PROBLEM	20L60R_R1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	16	2	60																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	67	79	13	511	13	0.1	0	0	0	0	24	48	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
1	71	80	156	486	26	0.1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	17	28	65	257	26	0.1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
3	50	37	51	474	32	0.1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
4	91	56	42	503	36	0.1	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	10	23	0	0	30	0	0
5	55	50	0	600	19	0.1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
6	85	10	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
7	58	91	220	396	15	0.1	0	0	0	0	0	21	0	44	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
8	80	71	26	325	23	0.1	0	0	0	25	0	0	0	0	47	3	0	0	0	0	0	0	11	0	0	0	0	29	23
9	86	39	128	366	31	0.1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0
10	44	27	107	469	12	0.1	0	0	1	0	0	0	23	0	0	0	0	0	0	0	25	0	0	0	0	20	0	29	0
11	64	58	78	430	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	0	0	39	12	0	0	0	0
12	13	9	266	426	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
13	33	80	130	389	10	0.1	0	0	0	0	0	20	0	0	7	27	0	0	0	0	0	0	3	0	0	0	0	0	0
14	45	63	11	347	32	0.1	0	0	19	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
15	100	7	132	428	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	21	0	0
16	91	50	193	527	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	48	56	98	343	37	0.1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
18	71	68	120	435	21	0.1	0	0	1	0	0	0	0	1	0	22	0	0	0	0	49	0	0	0	10	0	0	0	0
19	33	39	181	353	33	0.1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
20	19	6	68	270	41	0.1	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	0	0	4	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
