PROBLEM	20L60R_RC2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	16	2	60																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	37	69	163	423	13	0.1	0	0	0	0	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	31	66	208	426	26	0.1	0	0	0	0	0	48	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	62	121	470	26	0.1	0	0	29	0	0	23	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0
3	29	71	92	368	32	0.1	0	0	27	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	63	175	386	36	0.1	0	0	0	34	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0
5	52	45	0	600	19	0.1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	38	0	0	0	29	0	0	0
6	58	46	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9
7	56	48	14	448	15	0.1	0	0	0	0	0	0	0	44	0	0	21	0	42	0	0	0	0	0	0	0	0	12	0
8	59	44	1	360	23	0.1	0	0	0	0	0	0	0	0	47	30	0	0	23	0	0	0	11	23	0	0	0	29	0
9	70	87	101	403	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	43	0	0	0	0	0
10	69	85	262	533	12	0.1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	25	0	0	0	0	0	0	0	0
11	17	17	13	394	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	0	0	39	3	0	0	0	0
12	89	95	161	447	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	50	0	0	0	0
13	67	11	163	335	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	20	0	0	0
14	23	78	47	363	32	0.1	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	16	0	0	0	0	0
15	18	63	50	439	30	0.1	0	0	0	0	25	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	0
16	94	44	97	517	25	0.1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	98	80	173	504	37	0.1	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	51	72	29	379	21	0.1	0	0	0	0	0	0	0	1	0	22	0	0	0	0	49	0	0	0	10	0	0	0	0
19	15	72	41	432	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
20	29	89	40	426	41	0.1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
