PROBLEM	20L100R_C2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	30	2	100																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	37	69	0	434	13	0.1	0	0	0	24	21	48	0	5	0	0	0	0	0	0	0	19	0	0	0	0	30	6	0
1	31	66	42	308	26	0.1	0	0	0	0	27	7	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	62	79	493	26	0.1	0	0	29	0	0	21	27	0	10	0	0	0	0	0	0	0	0	28	0	0	0	36	0
3	29	71	39	484	32	0.1	0	0	0	11	0	0	23	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
4	27	63	82	424	36	0.1	0	0	0	34	30	27	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
5	52	45	0	600	19	0.1	0	0	0	0	0	0	0	0	1	10	21	0	0	0	11	38	0	0	0	0	0	0	0
6	58	46	0	600	11	0.1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	26	0	0	0	12	0	0	0
7	56	48	88	428	15	0.1	0	0	0	38	0	0	0	44	0	0	16	0	42	0	34	10	0	0	0	29	0	0	0
8	59	44	105	475	23	0.1	0	0	0	0	0	0	0	19	47	22	0	0	0	0	0	0	11	0	0	0	0	29	0
9	70	87	91	437	31	0.1	0	0	0	0	5	0	0	0	0	0	0	0	20	19	0	0	0	43	0	0	0	14	0
10	69	85	76	516	12	0.1	0	0	0	0	0	4	0	0	0	0	49	9	0	11	25	0	0	0	0	0	0	0	0
11	78	90	24	452	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	23	5	0	39	0	0	0	0	0
12	61	84	22	462	16	0.1	0	0	0	0	0	33	0	0	0	0	0	16	16	0	0	0	0	28	50	0	0	0	0
13	10	20	40	495	10	0.1	0	0	0	0	0	0	0	42	0	0	0	0	0	28	0	0	3	25	0	0	0	0	0
14	11	15	6	424	32	0.1	0	0	0	0	32	0	0	0	0	0	0	49	0	0	0	29	0	5	0	0	50	45	13
15	13	20	35	509	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	27	14	0	0	0	0	0	0
16	73	18	75	411	25	0.1	0	0	8	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	79	22	6	404	37	0.1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	42	0	20	14	12
18	76	19	38	449	21	0.1	0	0	0	0	0	0	0	1	0	0	0	0	33	0	49	0	0	0	10	23	0	4	0
19	80	24	276	504	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0
20	79	22	38	312	41	0.1	0	0	0	0	0	0	2	0	0	0	0	0	36	40	0	0	0	0	19	3	1	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	1200	100	1	5	5																							
2	60	1200	100	1	5	5																							
3	60	1200	100	1	5	5																							
4	60	1200	100	1	5	5																							
5	60	1200	100	1	5	5																							
6	60	1200	100	1	5	5																							
7	60	1200	100	1	5	5																							
8	60	1200	100	1	5	5																							
9	50	1200	80	1	6	6																							
10	50	1200	80	1	6	6																							
11	50	1200	80	1	6	6																							
12	50	1200	80	1	6	6																							
13	50	1200	80	1	6	6																							
14	50	1200	80	1	6	6																							
15	50	1200	80	1	6	6																							
16	50	1200	80	1	6	6																							
17	60	1200	100	1	5	5																							
18	60	1200	100	1	5	5																							
19	50	1200	80	1	6	6																							
20	50	1200	80	1	6	6																							
21	60	1200	100	1	5	5																							
22	60	1200	100	1	5	5																							
23	50	1200	80	1	6	6																							
24	50	1200	80	1	6	6																							
25	50	1200	80	1	6	6																							
26	60	1200	100	1	5	5																							
27	60	1200	100	1	5	5																							
28	50	1200	80	1	6	6																							
29	50	1200	80	1	6	6																							
30	50	1200	80	1	6	6																							
