PROBLEM	20L100R_R1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	30	2	100																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	67	79	22	493	13	0.1	0	0	0	0	24	48	0	5	0	0	0	8	0	0	0	19	0	0	0	0	30	6	0
1	71	80	241	444	26	0.1	0	0	0	0	0	0	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	17	28	96	505	26	0.1	0	0	29	0	0	0	27	0	10	0	0	0	0	0	0	0	0	28	0	0	0	0	0
3	50	37	47	462	32	0.1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	0	0	28	0	0	0	0
4	91	56	70	532	36	0.1	0	0	0	34	36	0	0	0	0	0	0	0	18	0	0	0	10	23	0	0	30	0	0
5	55	50	0	600	19	0.1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	11	38	0	0	0	0	0	0	0
6	85	10	0	600	11	0.1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	26	0	0	0	12	0	0	0
7	58	91	3	367	15	0.1	0	0	0	38	0	21	0	44	0	0	0	0	42	0	34	10	0	0	0	29	0	0	0
8	80	71	132	372	23	0.1	0	0	0	25	0	0	0	0	47	3	0	0	0	0	0	0	11	0	0	0	0	29	23
9	86	39	25	388	31	0.1	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	43	0	0	0	14	0
10	44	27	19	423	12	0.1	0	0	1	0	0	4	23	0	0	0	49	0	0	0	25	0	0	0	0	20	0	29	0
11	64	58	6	355	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	5	0	39	12	0	0	0	0
12	13	9	44	498	16	0.1	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	0
13	33	80	51	443	10	0.1	0	0	0	0	0	20	0	42	7	27	0	0	0	28	0	0	3	0	0	0	0	0	0
14	45	63	52	471	32	0.1	0	0	19	0	32	0	0	11	0	0	0	49	0	0	0	0	0	5	0	0	50	45	13
15	100	7	48	401	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	21	0	0
16	91	50	74	535	25	0.1	0	0	8	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	48	56	21	486	37	0.1	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	0	0	0	42	0	14	0	0
18	71	68	4	478	21	0.1	0	0	1	0	0	0	0	1	0	22	0	0	33	0	49	0	0	0	10	0	0	0	0
19	33	39	20	445	33	0.1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0
20	19	6	0	453	41	0.1	0	0	0	0	0	0	2	0	0	16	27	0	36	40	0	0	0	4	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	1200	100	1	5	5																							
2	60	1200	100	1	5	5																							
3	60	1200	100	1	5	5																							
4	60	1200	100	1	5	5																							
5	60	1200	100	1	5	5																							
6	60	1200	100	1	5	5																							
7	60	1200	100	1	5	5																							
8	60	1200	100	1	5	5																							
9	50	1200	80	1	6	6																							
10	50	1200	80	1	6	6																							
11	50	1200	80	1	6	6																							
12	50	1200	80	1	6	6																							
13	50	1200	80	1	6	6																							
14	50	1200	80	1	6	6																							
15	50	1200	80	1	6	6																							
16	50	1200	80	1	6	6																							
17	60	1200	100	1	5	5																							
18	60	1200	100	1	5	5																							
19	50	1200	80	1	6	6																							
20	50	1200	80	1	6	6																							
21	60	1200	100	1	5	5																							
22	60	1200	100	1	5	5																							
23	50	1200	80	1	6	6																							
24	50	1200	80	1	6	6																							
25	50	1200	80	1	6	6																							
26	60	1200	100	1	5	5																							
27	60	1200	100	1	5	5																							
28	50	1200	80	1	6	6																							
29	50	1200	80	1	6	6																							
30	50	1200	80	1	6	6																							
