PROBLEM	20L100R_RC1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	30	2	100																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	10	70	107	525	13	0.1	0	0	0	0	24	19	0	5	0	0	0	0	0	0	0	19	0	0	0	0	30	6	0
1	10	60	34	220	26	0.1	0	0	0	0	0	48	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	65	32	494	26	0.1	0	0	29	0	0	23	27	0	10	0	0	0	0	0	0	0	0	28	0	0	1	0	0
3	15	65	93	542	32	0.1	0	0	27	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	28	0	0	0	0
4	10	65	16	463	36	0.1	0	0	0	34	36	7	0	0	0	0	0	0	18	0	0	4	0	0	0	8	0	0	0
5	30	50	0	600	19	0.1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	11	38	0	0	0	29	0	0	0
6	30	45	0	600	11	0.1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9
7	25	45	22	388	15	0.1	0	0	0	38	0	0	0	44	0	0	21	0	42	0	34	10	0	0	0	29	0	12	0
8	25	50	16	507	23	0.1	0	0	0	0	0	0	0	0	47	30	0	0	23	0	0	0	11	23	0	0	0	29	0
9	50	60	17	495	31	0.1	0	0	0	0	5	0	0	0	0	0	0	0	21	0	0	0	0	43	0	0	0	14	0
10	60	60	13	411	12	0.1	0	0	0	0	0	4	0	0	0	0	49	16	0	0	25	0	0	0	0	0	0	0	0
11	67	79	23	260	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	5	0	39	3	0	0	0	0
12	71	80	10	407	16	0.1	0	0	0	0	0	33	0	0	0	0	0	0	0	20	0	0	0	28	50	0	0	0	0
13	17	28	33	484	10	0.1	0	0	0	0	0	0	0	42	26	0	0	0	0	28	0	0	3	0	0	20	0	0	0
14	50	37	84	516	32	0.1	0	0	11	0	32	0	0	0	0	0	0	49	10	0	0	0	0	16	0	0	50	45	13
15	91	56	5	521	30	0.1	0	0	0	0	25	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	0
16	55	50	34	425	25	0.1	0	0	8	0	16	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	85	10	63	369	37	0.1	0	0	0	0	0	0	0	42	16	0	0	0	0	0	0	0	0	0	1	0	14	0	0
18	58	91	91	478	21	0.1	0	0	0	0	0	0	0	1	0	22	0	0	33	0	49	0	0	0	10	0	0	0	0
19	80	71	103	427	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	5	0	0
20	86	39	30	354	41	0.1	0	0	0	0	0	0	2	19	0	0	0	0	36	40	0	0	0	5	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	1200	100	1	5	5																							
2	60	1200	100	1	5	5																							
3	60	1200	100	1	5	5																							
4	60	1200	100	1	5	5																							
5	60	1200	100	1	5	5																							
6	60	1200	100	1	5	5																							
7	60	1200	100	1	5	5																							
8	60	1200	100	1	5	5																							
9	50	1200	80	1	6	6																							
10	50	1200	80	1	6	6																							
11	50	1200	80	1	6	6																							
12	50	1200	80	1	6	6																							
13	50	1200	80	1	6	6																							
14	50	1200	80	1	6	6																							
15	50	1200	80	1	6	6																							
16	50	1200	80	1	6	6																							
17	60	1200	100	1	5	5																							
18	60	1200	100	1	5	5																							
19	50	1200	80	1	6	6																							
20	50	1200	80	1	6	6																							
21	60	1200	100	1	5	5																							
22	60	1200	100	1	5	5																							
23	50	1200	80	1	6	6																							
24	50	1200	80	1	6	6																							
25	50	1200	80	1	6	6																							
26	60	1200	100	1	5	5																							
27	60	1200	100	1	5	5																							
28	50	1200	80	1	6	6																							
29	50	1200	80	1	6	6																							
30	50	1200	80	1	6	6																							
